IdProducto,IdCategoria,Marca,Observacion,PrecioCompra,PrecioVenta,Nombre,Codigo,Stock,FechaAct,Usuario,UbicStock,StoAnt,Familia
50903,1, , ,0,0,"ROD CHIPORRO NAT 12CM P LARGO STAN

              ",7809842811217,1000000,,,0,,4
50904,1, , ,0,0,CABLE BATERIA 500A X  3M UYU                      ,6931598200364,1000000,,,0,,4
50905,1, , ,0,0,CABLE BATERIA 800A X  3M UYU                      ,6931598204683,1000000,,,0,,4
50906,1, , ,0,0,CABLE BATERIA 1000A X 3M UYU                      ,6931598210776,1000000,,,0,,4
50907,1, , ,0,0,MARTILLO PICASAL CON MANGO 300G UYUSTOOLS         ,40156,1000000,,,0,,4
50908,1, , ,0,0,"ESMERIL ANGULAR 7"" C114-H-50RL M14X2 BJ

         ",7809842631778,1000000,,,0,,4
50909,1, , ,0,0,PIROGRABADOR CON 22 PUNTOS UYU                    ,6931598243675,1000000,,,0,,4
50910,1, , ,0,0,PLACA 1 MOD AL TITANIO                            ,3469,1000000,,,0,,3
50911,1, ,,0,5190,C503-H-AB M14X2 BJ COPA 3PL NYL AB                ,7809842631303,1,,,1,,4
50912,1, , ,0,0,REGULADOR GAS TYPE 591 BAJA PRESION PROV          ,6905220325749,1000000,,,0,,4
50913,1, , ,0,0,DISCO FLAP 115X22.3MM 60 ACERO INO                ,7809842861069,1000000,,,0,,4
50914,1, , ,0,0,SIKASIL C BLANCO CARTUCHO 300 CC SIKA             ,3240240016028,1000000,,,0,,4
50915,1, , ,0,0,MOD INT 9/12 16A 250V GRIS MATIX                  ,3470,1000000,,,0,,3
50916,1, , ,0,0,DISCO FLAP 115X22.3MM 80 ACERO INO                ,7809842861083,1000000,,,0,,4
50917,1, , ,0,0,DISCO FLAP 115X22.3MM 120 ACERO IN                ,7809842861120,1000000,,,0,,4
50918,1, , ,0,0,SELLO MEC 20MM PEDROLLO BT-FN XPGF BP1 C          ,40161,1000000,,,0,,4
50919,1, ,,0,1220,CEPILLO STRIP ALAMBRE OND ACERO INOX              ,7809842610001,7,,,1,,4
50920,1, ,,0,6100,CIRCULAR ACERO ONDULADO 7-175MM                   ,7809842611121,3,,,1,,4
50921,1, ,,0,5280,"CIRCULAR ACERO OND 6""-150MM                       ",7809842611114,4,,,1,,4
50922,1, , ,0,0,CEPILLO STRIPALAMBRE ONDULADO                     ,7809842610049,1000000,,,0,,4
50923,1, , ,0,0,SELLO MEC 24MM PEDROLLO BT FN XPGF BP1 C          ,40162,1000000,,,0,,4
50924,1, , ,0,0,"COPA ACERO OND 3""-75MM                            ",7809842632126,1000000,,,0,,4
50925,1, ,,0,15990,OLEO BRILLANTE ROJO COLONIAL RECORD               ,2500000912443,15,,,1,,9
50926,1, , ,0,0,CEPILLO COPA ACERO 6500RPM                        ,7809842611220,1000000,,,0,,4
50927,1, , ,0,0,RODILLERA PROFESIONAL PVC ROD-X                   ,7501206657225,1000000,,,0,,4
50928,1, , ,0,0,SELLO MEC 28MM PEDROLLO BT FN XPGF BP1 C          ,40163,1000000,,,0,,4
50929,1, , ,0,0,TABLERO SOBREPUESTA 6 CIRCUITOS TRANSP MGC        ,3466,1000000,,,0,,3
50930,1, , ,0,0,TABLERO SOBREP 18 CIRCUIT TRANSP                  ,3467,1000000,,,0,,3
50931,1, , ,0,0,SELLO MECANICO PEDROLLO 32MM F 65/160 A-          ,40164,1000000,,,0,,4
50932,1, , ,0,0,TABLERO EMBUTIDO 18CC PTA TRANSPARENTE            ,3468,1000000,,,0,,3
50933,1, , ,0,0,TABLERO ELECT S/PTO 1-4 INT P/FUME MEC            ,7807354000051,1000000,,,0,,3
50934,1, , ,0,0,LLAVE PASO 1 SO DIMAFLOW                          ,10130,1000000,,,0,,1
50935,1, , ,0,0,TUBO CROMADO 19MM ANG 0.75X1.75 LISO C/F          ,40157,999999,,,0,,4
50936,1, , ,0,0,TUBO CROMADO 19MM ANG 1.00X1.00 LISO C/F          ,40158,1000000,,,0,,4
50937,1, , ,0,0,LINTERNA LABOR P                                  ,40159,1000000,,,0,,4
50938,1, , ,0,0,SELLO MEC 20MM PEDROLLO MC 30/50                  ,40165,1000000,,,0,,4
50939,1, , ,0,0,CILINDRO OVALADOS BRONCE SAT                      ,40160,1000000,,,0,,4
50940,1, , ,0,0,PLACA CIEGA SINTHESI S22 ALUMINIO                 ,3471,1000000,,,0,,3
50941,1, ,,0,4330,BROCA TOOLTEK SDS+ 2-C 10X160MM                   ,4034379002835,1000000,,,0,,4
50942,1, , ,0,0,SIERRA CIRCULAR CS1004                            ,885911487634,1000000,,,0,,4
50943,1, ,,0,12700,OLEO BRILLANTE ROJO BERMELLON PRAGA               ,2500000912436,29,,,1,,9
50944,1, ,,0,1270,BROCA TOOLTEK PERCUSION CILINDRICA 6X100MM        ,4034379000961,35,,,1,,4
50945,1, , ,0,0,ABECEDARIO ALUMINIO P/PINTAR 60MM                 ,40166,1000000,,,0,,4
50946,1, , ,0,0,LIMPIADOR CREMA ANTIBACTERIAL LYSOFORM            ,7790520006479,1000000,,,0,,11
50947,1, , ,0,0,ASPERSOR C/ESTACA MET. PUL. ME ASP-11X            ,7501206652084,1000000,,,0,,4
50948,1, , ,0,0,LIMPIA COCO FIBRA NAT 45X75CM                     ,7807993363630,1000000,,,0,,4
50949,1, , ,0,0,TABLERO EMPOTRAR PVC LEXO 18 POLOS                ,7807371017315,1000000,,,0,,3
50950,1, , ,0,0,HUINCHA CRUCETA 50 MTS. CRUCE-50                  ,7501206689356,1000000,,,0,,4
50951,1, , ,0,0,"BALDE CON ESCURRIDOR SIN MOPA

                   ",8410951111106,1000000,,,0,,8
50952,1, ,,0,4580,DUT TAPE MULTIUSO GRIS 48MMX30M                   ,7809824009922,37,,,1,,8
50953,1, , ,0,0,PISTOLA MET. 2 FUNC.P/RIEGO PR-302                ,7501206671856,1000000,,,0,,4
50954,1, , ,0,0,"18120 CORTACIRCULO BIMETALICO 2-3/4"" TRU

        ",7501206675281,1000000,,,0,,4
50955,1, , ,0,0,PISTOLA METALICA P/RIEGO PR-101                   ,7501206671788,1000000,,,0,,4
50956,1, , ,0,0,"CINTA FILAMENT ISESA 18MM X 40M 

                ",82360,1000000,,,0,,8
50957,1, , ,0,0,HUINCHA AISLAR NEGRA 18 MTS. M-33P                ,7501206626627,1000000,,,0,,4
50958,1, , ,0,0,MINI ARCO SIERRA AJUSTABLE LE#146 STARRETT        ,7891265670274,1000000,,,0,,4
50959,1, , ,0,0,RAJADOR DE LENA PROFESIONAL RAMA-4X               ,7506240648413,1000000,,,0,,4
50960,1, , ,0,0,"DESMALEZADOR C/MANGO 54"""" ACT-HOE                 ",7501206619049,1000000,,,0,,4
50961,1, , ,0,0,BALON GAS 190 GRAMOS                              ,BG1             ,1000000,,,0,,4
50962,1, , ,0,0,BALON GAS 227 GRAMOS                              ,BG2             ,1000000,,,0,,4
50963,1, , ,0,0,BALON GAS 230 GRAMOS CON VALVULA                  ,BG3             ,1000000,,,0,,4
50964,1, , ,0,0,TRANSFIRIDOR DE ANGULOS K15-S 200MM STARRETT      ,7891265209733,1000000,,,0,,4
50965,1, , ,0,0,"CINTA FILAMENT ISESA 36MM X 40M 

                ",82361,1000000,,,0,,8
50966,1, , ,0,0,BALON GAS 450 GRAMOS CON VALVULA                  ,BG4             ,1000000,,,0,,4
50967,1, , ,0,0,"MASKING P.EXTERIOR -AZUL- 18 MM X 40M. 

         ",82363,1000000,,,0,,8
50968,1, , ,0,0,"CINTA FILAMENT ISESA 24MM X 40M 

                ",82362,1000000,,,0,,8
